P. Name,P. Habitable Class,P. Min Mass (EU),P. Mass (EU),P. Radius (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),
Kepler-1231 b,non-habitable,,2.89,1.42,114.0501,114.0501,114.0501,
Kepler-1232 b,non-habitable,,8.88,1.93,21.9395,21.9395,21.93951,
Kepler-1233 b,non-habitable,,3.33,2.6,30.46622,30.46623,30.46623,
Kepler-1234 b,non-habitable,,4.29,2.81,35.03229,35.0323,35.0323,
Kepler-1235 b,non-habitable,,0.39,0.78,280.6624,280.6624,280.6624,
Kepler-1236 b,non-habitable,,13.55,2.14,14.48125,14.48125,14.48125,
Kepler-1237 b,non-habitable,,4.51,2.86,4.777605,4.777606,4.777606,
Kepler-1238 b,non-habitable,,8.88,1.93,1075.425,1075.425,1075.425,
Kepler-1239 b,non-habitable,,4.74,2.9,953.3513,953.3513,953.3515,
Kepler-1240 b,non-habitable,,1.4,1.15,276.6894,276.6894,276.6895,
Kepler-1241 b,non-habitable,,3.47,2.63,26.2784,26.2784,26.27841,
Kepler-1242 b,non-habitable,,17.18,2.26,26.94277,26.94277,26.94278,
Kepler-1243 b,non-habitable,,6.1,1.75,50.87544,50.87545,50.87545,
Kepler-1244 b,non-habitable,,2.37,1.34,1981.903,1981.903,1981.904,
Kepler-1245 b,non-habitable,,2.97,1.43,199.0215,199.0215,199.0215,
Kepler-1245 c,non-habitable,,2.97,1.43,336.491,336.4911,336.4911,
Kepler-1246 b,non-habitable,,2.44,1.36,24.46808,24.46809,24.46809,
Kepler-1247 b,non-habitable,,19.52,2.33,41.98649,41.9865,41.9865,
Kepler-1248 b,non-habitable,,1.49,1.18,295.9748,295.9748,295.9748,
Kepler-1249 b,non-habitable,,21.25,2.37,71.73835,71.73836,71.73836,
Kepler-1250 b,non-habitable,,8.68,1.92,674.4193,674.4194,674.4196,
Kepler-1251 b,non-habitable,,7.38,1.84,11.55985,11.55985,11.55985,
Kepler-1252 b,non-habitable,,5.14,1.67,90.24542,90.24542,90.24544,
Kepler-1253 b,non-habitable,,2.3,1.33,12.00205,12.00205,12.00205,
Kepler-1254 b,non-habitable,,3.88,1.55,44.64483,44.64483,44.64484,
Kepler-1254 c,non-habitable,,2.1,1.3,174.0679,174.0679,174.0679,
Kepler-1254 d,non-habitable,,2.17,1.31,93.75703,93.75704,93.75705,
Kepler-1255 b,non-habitable,,19.11,2.32,30.48499,30.48499,30.48499,
Kepler-1256 b,non-habitable,,3.4,1.49,191.6716,191.6716,191.6717,
Kepler-1257 b,non-habitable,,3.69,1.52,471.1733,471.1733,471.1734,
Kepler-1258 b,non-habitable,,0.53,0.86,2742.784,2742.785,2742.786,
Kepler-1259 b,non-habitable,,2.97,1.43,1817.873,1817.873,1817.873,
Kepler-1260 b,non-habitable,,6.4,1.77,64.93976,64.93977,64.93979,
Kepler-1261 b,non-habitable,,17.18,2.26,5.642127,5.642127,5.642128,
Kepler-1262 b,non-habitable,,7.04,1.81,140.9107,140.9107,140.9107,
Kepler-1263 b,non-habitable,,1.35,1.14,164.9512,164.9512,164.9512,
Kepler-1264 b,non-habitable,,1.49,1.18,2659.287,2659.288,2659.289,
Kepler-1265 b,non-habitable,,2.37,1.34,53.17008,53.17009,53.1701,
Kepler-1266 b,non-habitable,,3.24,2.58,11.69297,11.69297,11.69298,
Kepler-1267 b,non-habitable,,5.34,3.01,138.4501,138.4501,138.4501,
Kepler-1268 b,non-habitable,,10.88,2.03,23.02479,23.02479,23.02479,
Kepler-1269 b,non-habitable,,4.65,1.62,30.16969,30.16969,30.16969,
Kepler-1270 b,non-habitable,,7.19,3.32,1341.526,1341.526,1341.526,
Kepler-1271 b,non-habitable,,3.31,1.48,1063.497,1063.497,1063.497,
Kepler-1272 b,non-habitable,,20.8,2.36,17.40421,17.40421,17.40421,
Kepler-1273 b,non-habitable,,26.25,2.49,22.16667,22.16667,22.16668,
Kepler-1274 b,non-habitable,,2.89,1.42,941.0591,941.0594,941.0595,
Kepler-1275 b,non-habitable,,3.31,1.48,1053.056,1053.056,1053.056,
Kepler-1276 b,non-habitable,,1.54,1.19,157.7005,157.7006,157.7006,
Kepler-1277 b,non-habitable,,4.42,1.6,14.23018,14.23018,14.23019,
Kepler-1278 b,non-habitable,,0.89,1.01,835.3118,835.3119,835.3121,
Kepler-1279 b,non-habitable,,6.1,1.75,81.33753,81.33754,81.33755,
Kepler-1280 b,non-habitable,,7.92,1.87,20.15644,20.15644,20.15644,
Kepler-1281 b,non-habitable,,4.77,1.64,319.5959,319.5959,319.596,
Kepler-1282 b,non-habitable,,3.88,1.55,656.3528,656.353,656.3531,
Kepler-1283 b,non-habitable,,8.48,1.9,158.6407,158.6407,158.6408,
Kepler-1284 b,non-habitable,,1.65,1.21,1953.205,1953.205,1953.205,
Kepler-1285 b,non-habitable,,0.8,0.97,135.6508,135.6508,135.6508,
Kepler-1286 b,non-habitable,,13.85,2.15,97.75888,97.7589,97.7589,
Kepler-1287 b,non-habitable,,3.78,1.53,87.68255,87.68255,87.68256,
Kepler-1288 b,non-habitable,,1.27,1.12,1260.479,1260.479,1260.479,
Kepler-1289 b,non-habitable,,3.69,1.52,257.5441,257.5441,257.5442,
Kepler-1290 b,non-habitable,,2.89,1.42,273.8035,273.8035,273.8035,
Kepler-1291 b,non-habitable,,5.02,1.66,70.44303,70.44303,70.44305,
Kepler-1292 b,non-habitable,,7.04,1.81,410.7044,410.7044,410.7045,
Kepler-1293 b,non-habitable,,0.8,0.97,527.5116,527.5117,527.5118,
Kepler-1294 b,non-habitable,,6.39,3.19,4.383193,4.383193,4.383193,
Kepler-1295 b,non-habitable,,3.88,1.55,298.3209,298.3209,298.321,
Kepler-1296 b,non-habitable,,0.63,0.91,85.78571,85.78572,85.78574,
Kepler-1297 b,non-habitable,,0.8,0.97,1324.593,1324.593,1324.593,
Kepler-1298 b,non-habitable,,2.17,1.31,861.2615,861.2615,861.2617,
Kepler-1299 b,non-habitable,,5.16,2.98,37.02035,37.02035,37.02036,
Kepler-1300 b,non-habitable,,2.51,1.37,143.0417,143.0417,143.0417,
Kepler-1301 b,non-habitable,,2.73,1.4,65.5082,65.50821,65.50822,
Kepler-1302 b,non-habitable,,2.97,1.43,71.66036,71.66036,71.66038,
Kepler-1303 b,non-habitable,,2.89,1.42,173.994,173.994,173.994,
Kepler-1304 b,non-habitable,,17.93,2.28,32.16387,32.16387,32.16387,
Kepler-1305 b,non-habitable,,8.1,1.88,71.98207,71.98208,71.98209,
Kepler-1306 b,non-habitable,,8.48,1.9,58.19233,58.19234,58.19236,
Kepler-1307 b,non-habitable,,25.16,2.46,66.72988,66.7299,66.72991,
Kepler-1308 b,non-habitable,,0.1,0.52,29.2603,29.26031,29.26031,
Kepler-1309 b,non-habitable,,20.8,2.36,14.19206,14.19206,14.19207,
Kepler-1310 b,non-habitable,,2.97,1.43,3068.228,3068.229,3068.229,
Kepler-1311 b,non-habitable,,1.81,1.24,194.3227,194.3227,194.3227,
Kepler-1311 c,non-habitable,,1.7,1.22,1403.662,1403.662,1403.663,
Kepler-1312 b,non-habitable,,12.42,2.09,222.8192,222.8192,222.8192,
Kepler-1313 b,non-habitable,,6.25,1.76,263.8314,263.8315,263.8315,
Kepler-1314 b,non-habitable,,26.46,5.11,37.01074,37.01074,37.01074,
Kepler-1315 b,non-habitable,,2.58,1.38,1071.86,1071.86,1071.86,
Kepler-1316 b,non-habitable,,8.79,3.54,8.773535,8.773536,8.773537,
Kepler-1317 b,non-habitable,,3.99,1.56,2459.923,2459.923,2459.923,
Kepler-1318 b,non-habitable,,5.85,3.1,0.4968834,0.4968834,0.4968835,
Kepler-1319 A b,non-habitable,,2.81,1.41,25.18174,47.17573,99.20441,
Kepler-1319 b,non-habitable,,2.37,1.34,43.67179,43.67179,43.6718,
Kepler-1320 b,non-habitable,,5.54,1.7,967.7503,967.7505,967.7507,
Kepler-1321 b,non-habitable,,23.62,4.92,11.22482,11.22482,11.22482,
Kepler-1321 c,non-habitable,,22.16,2.4,95.92313,95.92314,95.92316,
Kepler-1322 b,non-habitable,,4.54,1.61,1815.44,1815.44,1815.441,
Kepler-1323 b,non-habitable,,3.69,1.52,6563.649,6563.65,6563.65,
Kepler-1324 b,non-habitable,,3.59,1.51,116.2604,116.2604,116.2605,
Kepler-1325 b,non-habitable,,4.51,2.86,17.62929,17.62929,17.62929,
Kepler-1326 b,non-habitable,,14.51,4.18,76.73653,76.73655,76.73657,
Kepler-1327 b,non-habitable,,6.88,1.8,80.35546,80.35547,80.35548,
Kepler-1328 b,non-habitable,,0.8,0.97,342.8712,342.8713,342.8713,
Kepler-1329 b,non-habitable,,14.46,2.17,28.97037,28.97037,28.97037,
Kepler-1330 b,non-habitable,,4.89,1.65,95.6404,95.6404,95.64042,
Kepler-1331 b,non-habitable,,1.03,1.05,786.5535,786.5536,786.5537,
Kepler-1332 b,non-habitable,,2.51,1.37,70.34462,70.34463,70.34464,
Kepler-1333 b,non-habitable,,4.29,2.81,3.95167,3.951671,3.951672,
Kepler-1334 b,non-habitable,,17.93,2.28,51.33612,51.33613,51.33614,
Kepler-1335 b,non-habitable,,3.05,1.44,76.45029,76.4503,76.45031,
Kepler-1336 b,non-habitable,,9.95,1.98,57.58259,57.5826,57.5826,
Kepler-1336 c,non-habitable,,5.68,1.71,367.523,367.523,367.5231,
Kepler-1337 b,non-habitable,,22.64,2.41,7.891062,7.891062,7.891063,
Kepler-1338 b,non-habitable,,0.66,0.92,3355.787,3355.787,3355.788,
Kepler-1339 b,non-habitable,,0.28,0.71,1389.986,1389.986,1389.986,
Kepler-1340 b,non-habitable,,3.88,1.55,11151.89,11151.9,11151.9,
Kepler-1341 b,non-habitable,,5.22,2.99,0.9892018,0.9892021,0.9892023,
Kepler-1342 b,non-habitable,,5.02,1.66,643.637,643.637,643.6371,
Kepler-1343 b,non-habitable,,8.88,1.93,459.9384,459.9384,459.9384,
Kepler-1344 b,non-habitable,,7.38,1.84,450.4913,450.4913,450.4915,
Kepler-1345 b,non-habitable,,20.8,2.36,51.14316,51.14317,51.14318,
Kepler-1346 b,non-habitable,,4.2,1.58,869.5131,869.5132,869.5134,
Kepler-1347 b,non-habitable,,0.96,1.03,35.94952,35.94952,35.94953,
Kepler-1348 b,non-habitable,,9.09,1.94,36.19058,36.19058,36.19059,
Kepler-1349 b,non-habitable,,0.27,0.69,1742.953,1742.954,1742.954,
Kepler-1350 b,non-habitable,,3.02,2.52,28.34014,28.34015,28.34015,
Kepler-1350 c,non-habitable,,5.82,1.72,98.4846,98.4846,98.4846,
Kepler-1351 b,non-habitable,,0.22,0.65,582.2989,582.299,582.2991,
Kepler-1352 b,non-habitable,,0.58,0.88,1778.762,1778.762,1778.763,
Kepler-1353 b,non-habitable,,6.88,1.8,10.52077,10.52077,10.52077,
Kepler-1354 b,non-habitable,,5.1,2.97,14.51822,14.51822,14.51822,
Kepler-1355 b,non-habitable,,3.14,1.46,1027.625,1027.626,1027.626,
Kepler-1356 b,non-habitable,,3.69,1.52,2031.042,2031.042,2031.043,
Kepler-1357 b,non-habitable,,1.98,1.28,450.0561,450.0561,450.0562,
Kepler-1358 b,non-habitable,,1.27,1.12,88.76401,88.76401,88.76402,
Kepler-1359 b,non-habitable,,4.34,2.82,3.03524,3.03524,3.03524,
Kepler-1360 b,non-habitable,,7.73,3.39,90.40209,90.40209,90.40211,
Kepler-1361 b,non-habitable,,0.53,0.86,209.9377,209.9377,209.9378,
Kepler-1362 b,non-habitable,,3.33,2.6,1.182551,1.182551,1.182551,
Kepler-1363 b,non-habitable,,1.86,1.25,189.7451,189.7451,189.7451,
Kepler-1364 b,non-habitable,,13.85,2.15,390.8477,390.8477,390.8478,
Kepler-1365 b,non-habitable,,0.66,0.92,188.3518,188.3518,188.3519,
Kepler-1365 c,non-habitable,,0.41,0.8,356.1997,356.1997,356.1998,
Kepler-1366 b,non-habitable,,2.97,1.43,113.7088,113.7088,113.7088,
Kepler-1367 b,non-habitable,,0.66,0.92,180.1144,180.1144,180.1144,
Kepler-1368 b,non-habitable,,4.89,1.65,5362.173,5362.174,5362.175,
Kepler-1369 b,non-habitable,,3.72,2.69,33.2846,33.28461,33.28461,
Kepler-1370 b,non-habitable,,7.38,1.84,93.00525,93.00525,93.00526,
Kepler-1370 c,non-habitable,,1.92,1.27,353.6752,353.6753,353.6754,
Kepler-1371 b,non-habitable,,0.31,0.73,281.1098,281.1098,281.1099,
Kepler-1371 c,non-habitable,,0.2,0.64,578.6183,578.6185,578.6186,
Kepler-1372 b,non-habitable,,1.92,1.27,1616.926,1616.926,1616.926,
Kepler-1373 b,non-habitable,,1.4,1.15,4065.194,4065.194,4065.195,
Kepler-1374 b,non-habitable,,17.93,2.28,58.6909,58.6909,58.69092,
Kepler-1375 b,non-habitable,,5.96,1.74,2360.894,2360.894,2360.894,
Kepler-1376 b,non-habitable,,1.03,1.05,247.4911,247.4912,247.4912,
Kepler-1377 b,non-habitable,,1.86,1.25,1926.7,1926.7,1926.7,
Kepler-1378 b,non-habitable,,15.1,2.2,18.41521,18.41521,18.41521,
Kepler-1379 b,non-habitable,,2.1,1.3,1418.683,1418.684,1418.684,
Kepler-1380 b,non-habitable,,2.97,1.43,91.26588,91.26588,91.26591,
Kepler-1381 b,non-habitable,,16.81,2.25,31.11411,31.11412,31.11412,
Kepler-1382 b,non-habitable,,8.1,1.88,195.9697,195.9697,195.9697,
Kepler-1383 b,non-habitable,,2.81,1.41,205.0361,205.0361,205.0361,
Kepler-1384 b,non-habitable,,9.09,1.94,23.21798,23.21798,23.21798,
Kepler-1385 b,non-habitable,,0.51,0.85,932.2233,932.2234,932.2234,
Kepler-1386 b,non-habitable,,1.81,1.24,208.2012,208.2012,208.2013,
Kepler-1387 b,non-habitable,,0.68,0.93,342.7459,342.746,342.7461,
Kepler-1388 b,non-habitable,,3.28,2.59,11.80509,11.80509,11.80509,
Kepler-1388 c,non-habitable,,17.18,2.26,34.17074,34.17075,34.17075,
Kepler-1388 d,non-habitable,,4.51,2.86,5.791938,5.791939,5.791941,
Kepler-1388 e,non-habitable,,24.64,2.45,2.65361,2.65361,2.653611,
Kepler-1389 b,non-habitable,,6.4,1.77,2.136926,2.136926,2.136926,
Kepler-1390 b,non-habitable,,1.49,1.18,206.838,206.838,206.838,
Kepler-1391 b,non-habitable,,5.27,1.68,15.68625,15.68625,15.68625,
Kepler-1392 b,non-habitable,,9.51,1.96,44.35926,44.35926,44.35927,
Kepler-1393 b,non-habitable,,0.41,0.8,656.9221,656.9222,656.9222,
Kepler-1394 b,non-habitable,,2.65,1.39,3109.126,3109.126,3109.127,
Kepler-1395 b,non-habitable,,0.41,0.8,768.4607,768.4608,768.4608,
Kepler-1396 b,non-habitable,,11.88,2.07,103.9849,103.9849,103.985,
Kepler-1397 b,non-habitable,,5.68,1.71,21.30547,21.30548,21.30548,
Kepler-1398 b,non-habitable,,0.6,0.9,1079.446,1079.446,1079.446,
Kepler-1398 c,non-habitable,,0.96,1.03,637.5748,637.5749,637.575,
Kepler-1399 b,non-habitable,,1.86,1.25,1234.193,1234.193,1234.193,
Kepler-1400 b,non-habitable,,4.65,1.62,55.27092,55.27093,55.27093,
Kepler-1401 b,non-habitable,,5.27,1.68,136.844,136.844,136.844,
Kepler-1402 b,non-habitable,,0.36,0.76,635.3728,635.3729,635.3729,
Kepler-1403 b,non-habitable,,13.55,2.14,433.3474,433.3474,433.3475,
Kepler-1404 b,non-habitable,,10.4,2,32.1956,32.1956,32.19561,
Kepler-1405 b,non-habitable,,12.3,3.95,37.24236,37.24236,37.24237,
Kepler-1406 b,non-habitable,,1.18,1.1,130.1683,130.1684,130.1684,
Kepler-1407 b,non-habitable,,16.81,2.25,69.56745,69.56746,69.56747,
Kepler-1408 b,non-habitable,,0.58,0.88,1261.033,1261.033,1261.033,
Kepler-1409 b,non-habitable,,0.99,1.04,1678.386,1678.387,1678.387,
Kepler-1410 b,mesoplanet,,6.56,1.78,1.344376,1.344376,1.344376,
Kepler-1411 b,non-habitable,,4.34,2.82,5.555006,5.555006,5.555007,
Kepler-1412 b,non-habitable,,0.47,0.83,783.4939,783.494,783.4941,
Kepler-1413 b,non-habitable,,7.04,1.81,39.43274,39.43274,39.43274,
Kepler-1414 b,non-habitable,,1.75,1.23,171.9275,171.9276,171.9276,
Kepler-1415 b,non-habitable,,2.04,1.29,2512.428,2512.429,2512.429,
Kepler-1416 b,non-habitable,,0.58,0.88,2246.466,2246.467,2246.467,
Kepler-1417 b,non-habitable,,0.86,1,50.34126,50.34126,50.34127,
Kepler-1418 b,non-habitable,,5.02,1.66,11.80263,11.80263,11.80263,
Kepler-1419 b,non-habitable,,4.51,2.86,18.05787,18.05788,18.05788,
Kepler-1420 b,non-habitable,,1.98,1.28,95.68607,95.68608,95.6861,
Kepler-1421 b,non-habitable,,0.68,0.93,498.038,498.038,498.0381,
Kepler-1422 b,non-habitable,,10.64,2.02,96.43951,96.43951,96.43952,
Kepler-1423 b,non-habitable,,1.07,1.06,13.29211,13.29211,13.29211,
Kepler-1424 b,non-habitable,,1.4,1.15,33.57835,33.57835,33.57836,
Kepler-1425 b,non-habitable,,0.71,0.94,65.53259,65.53261,65.53262,
Kepler-1426 b,non-habitable,,3.99,1.56,80.46981,80.46982,80.46983,
Kepler-1427 b,non-habitable,,1.18,1.1,2789.318,2789.319,2789.319,
Kepler-1428 b,non-habitable,,4.77,1.64,228.7377,228.7377,228.7377,
Kepler-1429 b,non-habitable,,2.04,1.29,426.097,426.097,426.0972,
Kepler-1430 b,non-habitable,,1.49,1.18,230.3342,230.3342,230.3342,
Kepler-1431 b,non-habitable,,3.22,1.47,261.8409,261.841,261.841,
Kepler-1432 b,non-habitable,,15.76,2.22,54.26327,54.26327,54.26328,
Kepler-1433 b,non-habitable,,3.99,1.56,632.9891,632.9891,632.9893,
Kepler-1434 b,non-habitable,,1.23,1.11,731.9764,731.9766,731.9767,
Kepler-1435 b,non-habitable,,0.53,0.86,801.0089,801.0089,801.009,
Kepler-1436 b,non-habitable,,2.17,1.31,164.5491,164.5491,164.5492,
Kepler-1437 b,non-habitable,,2.51,1.37,78.32957,78.32958,78.3296,
Kepler-1438 b,non-habitable,,0.71,0.94,671.3669,671.367,671.3671,
Kepler-1439 b,non-habitable,,3.14,1.46,7.357844,7.357844,7.357845,
Kepler-1440 b,non-habitable,,1.86,1.25,16.94767,16.94767,16.94767,
Kepler-1441 b,non-habitable,,2.17,1.31,19.78047,19.78047,19.78048,
Kepler-1442 b,non-habitable,,12.09,3.93,18.93802,18.93802,18.93802,
Kepler-1443 b,non-habitable,,0.8,0.97,1622.324,1622.324,1622.325,
Kepler-1444 b,non-habitable,,14.46,2.17,26.81519,26.81519,26.8152,
Kepler-1445 b,non-habitable,,0.77,0.96,210.6802,210.6802,210.6802,
Kepler-1446 b,non-habitable,,0.45,0.82,1393.893,1393.893,1393.894,
Kepler-1447 b,non-habitable,,4.74,2.9,10.62858,10.62859,10.62859,
Kepler-1448 b,non-habitable,,4.54,1.61,82.37032,82.37032,82.37034,
Kepler-1449 b,non-habitable,,5.27,1.68,110.049,110.049,110.0491,
Kepler-1450 b,non-habitable,,5.68,1.71,2.75959,2.75959,2.759591,
Kepler-1451 b,non-habitable,,7.42,3.35,21.90241,21.90241,21.90241,
Kepler-1452 b,non-habitable,,3.77,2.7,72.93472,72.93475,72.93476,
Kepler-1453 b,non-habitable,,3.62,2.67,12.77317,12.77317,12.77317,
Kepler-1454 b,non-habitable,,8.1,1.88,9.648586,9.648587,9.648588,
Kepler-1455 b,non-habitable,,14.15,2.16,1.771059,1.771059,1.771059,
Kepler-1456 b,non-habitable,,1.35,1.14,8.157179,8.15718,8.157181,
Kepler-1457 b,non-habitable,,10.17,1.99,14.82454,14.82454,14.82455,
Kepler-1458 b,non-habitable,,4.02,2.76,12.4612,12.4612,12.46121,
Kepler-1459 b,non-habitable,,2.44,1.36,3.291723,3.291723,3.291723,
Kepler-1460 b,non-habitable,,9.51,1.96,5.482474,5.482474,5.482475,
Kepler-1461 b,non-habitable,,10.88,2.03,9.711571,9.711573,9.711575,
Kepler-1462 b,non-habitable,,11.08,3.82,9.713696,9.713696,9.713696,
Kepler-1463 b,non-habitable,,7.73,1.86,30.66491,30.66491,30.66492,
Kepler-1464 b,non-habitable,,5.02,1.66,27.04033,27.04033,27.04034,
Kepler-1464 c,non-habitable,,0.86,1,292.4966,292.4966,292.4966,
Kepler-1465 b,non-habitable,,6.4,1.77,7.07806,7.07806,7.078062,
Kepler-1466 b,non-habitable,,3.88,1.55,29.58953,29.58953,29.58954,
Kepler-1467 b,non-habitable,,7.04,3.29,8.290146,8.290146,8.290147,
Kepler-1468 b,non-habitable,,5.82,1.72,182.3954,182.3954,182.3954,
Kepler-1468 c,non-habitable,,1.4,1.15,561.4761,561.4761,561.4763,
Kepler-1469 b,non-habitable,,4.24,2.8,29.52287,29.52288,29.52289,
Kepler-1470 b,non-habitable,,1.07,1.06,23.03062,23.03063,23.03063,
Kepler-1471 b,non-habitable,,2.81,1.41,384.5724,384.5725,384.5725,
Kepler-1472 b,non-habitable,,8.48,1.9,37.18641,37.18642,37.18642,
Kepler-1473 b,non-habitable,,1.54,1.19,100.0145,100.0145,100.0145,
Kepler-1474 b,non-habitable,,14.15,2.16,24.27367,24.27367,24.27367,
Kepler-1475 b,non-habitable,,4.86,2.92,14.34998,14.34998,14.34998,
Kepler-1476 b,non-habitable,,5.14,1.67,99.7039,99.7039,99.70393,
Kepler-1477 b,non-habitable,,1.49,1.18,42.49217,42.49218,42.49218,
Kepler-1478 b,non-habitable,,5.82,1.72,40.29136,40.29137,40.29137,
Kepler-1479 b,non-habitable,,7.21,1.83,72.1032,72.10322,72.10323,
Kepler-1480 b,non-habitable,,5.14,1.67,19.49493,19.49493,19.49493,
Kepler-1481 b,non-habitable,,1.75,1.23,82.46839,82.46839,82.46841,
Kepler-1482 b,non-habitable,,0.89,1.01,53.43964,53.43965,53.43965,
Kepler-1483 b,non-habitable,,3.69,1.52,316.8871,316.8872,316.8872,
Kepler-1484 b,non-habitable,,12.69,2.11,23.42986,23.42986,23.42986,
Kepler-1485 b,non-habitable,,3.22,1.47,69.73354,69.73355,69.73356,
Kepler-1486 b,non-habitable,,19.11,2.32,17.0484,17.0484,17.0484,
Kepler-1487 b,non-habitable,,13.26,2.13,647.0396,647.0396,647.0397,
Kepler-1488 b,non-habitable,,7.73,1.86,32.84923,32.84923,32.84924,
Kepler-1489 b,non-habitable,,6.4,1.77,5.692041,5.692041,5.692043,
Kepler-1490 b,non-habitable,,5.46,3.04,4.211849,4.21185,4.21185,
Kepler-1491 b,non-habitable,,3.59,1.51,58.45542,58.45542,58.45543,
Kepler-1492 b,non-habitable,,3.4,1.49,16.63113,16.63113,16.63114,
Kepler-1493 b,non-habitable,,2.81,1.41,119.5905,119.5905,119.5905,
Kepler-1494 b,non-habitable,,5.66,3.07,5.325215,5.325216,5.325217,
Kepler-1495 b,non-habitable,,4.92,2.93,7.654805,7.654806,7.654807,
Kepler-1496 b,non-habitable,,15.76,2.22,19.05033,19.05034,19.05034,
Kepler-1497 b,non-habitable,,5.02,1.66,125.1756,125.1756,125.1756,
Kepler-1498 b,non-habitable,,2.3,1.33,7.427711,7.427711,7.427712,
Kepler-1499 b,non-habitable,,1.54,1.19,7.028603,7.028604,7.028604,
Kepler-1500 b,non-habitable,,1.59,1.2,73.7249,73.72491,73.72491,
Kepler-1501 b,non-habitable,,3.99,1.56,148.5602,148.5602,148.5602,
Kepler-1502 b,non-habitable,,6.33,3.18,74.21921,74.21921,74.21922,
Kepler-1503 b,non-habitable,,17.55,2.27,2.288991,2.288991,2.288992,
Kepler-1504 b,non-habitable,,13.26,2.13,4.048758,4.048759,4.048759,
Kepler-1505 b,non-habitable,,0.68,0.93,19.64389,19.64389,19.6439,
Kepler-1506 b,non-habitable,,2.23,1.32,64.3171,64.31712,64.31713,
Kepler-1507 b,non-habitable,,0.49,0.84,38.71819,38.71819,38.7182,
Kepler-1508 b,non-habitable,,2.3,1.33,80.84019,80.84019,80.84022,
Kepler-1509 b,non-habitable,,7.56,1.85,34.27444,34.27444,34.27444,
Kepler-1510 b,non-habitable,,7.49,3.36,13.58171,13.58172,13.58172,
Kepler-1511 b,non-habitable,,5.27,1.68,71.61835,71.61835,71.61837,
Kepler-1512 b,non-habitable,,1.49,1.18,8.527657,8.527658,8.52766,
Kepler-1513 b,non-habitable,,133.91,8.46,2.525353,2.525353,2.525354,
Kepler-1514 b,non-habitable,,,11.82,3.578517,3.578517,3.578518,
Kepler-1515 b,non-habitable,,219.6,9.54,5.481216,5.481217,5.481218,
Kepler-1516 b,non-habitable,,6.1,1.75,225.9471,225.9471,225.9472,
Kepler-1517 b,non-habitable,,243.48,9.76,1615.817,1615.817,1615.817,
Kepler-1518 b,non-habitable,,5.53,3.05,1549.378,1549.378,1549.378,
Kepler-1519 b,non-habitable,,71.66,7.06,1.369862,1.369862,1.369862,
Kepler-1520 b,non-habitable,,38.18,5.77,1196.758,1196.758,1196.758,
Kepler-1521 b,non-habitable,,26.81,2.5,5.910576,5.910576,5.910578,
Kepler-1522 b,non-habitable,,5.82,1.72,973.6771,973.6772,973.6773,
Kepler-1523 b,non-habitable,,4.2,1.58,2545.467,2545.467,2545.468,
Kepler-1524 b,non-habitable,,8.79,3.54,16.36165,16.36165,16.36166,
Kepler-1525 b,non-habitable,,0.63,0.91,815.5963,815.5964,815.5966,
Kepler-1526 b,non-habitable,,23.62,2.43,100.1681,100.1681,100.1681,
Kepler-1527 b,non-habitable,,21.59,4.77,6.205972,6.205974,6.205975,
Kepler-1528 b,non-habitable,,3.14,1.46,1318.838,1318.838,1318.839,
Kepler-1529 b,non-habitable,,12.42,2.09,111.2722,111.2723,111.2723,
Kepler-1530 b,non-habitable,,4.77,1.64,485.2695,485.2695,485.2696,
Kepler-1530 c,non-habitable,,4.89,1.65,185.7668,185.7668,185.7668,
Kepler-1531 b,non-habitable,,1.23,1.11,4422.53,4422.53,4422.531,
Kepler-1532 b,non-habitable,,2.37,1.34,1637.885,1637.885,1637.886,
Kepler-1533 b,non-habitable,,8.21,3.46,3.661529,3.66153,3.66153,
Kepler-1534 b,non-habitable,,8.29,1.89,159.5441,159.5441,159.5441,
Kepler-1535 b,non-habitable,,3.1,2.54,5.009427,5.009428,5.009428,
Kepler-1536 b,non-habitable,,6.05,3.14,0.1960458,0.1960459,0.1960459,
Kepler-1537 b,non-habitable,,1.49,1.18,651.6836,651.6837,651.6838,
Kepler-1538 b,non-habitable,,4.34,2.82,2.887813,2.887813,2.887814,
Kepler-1539 b,non-habitable,,3.77,2.7,1.775764,1.775764,1.775765,
Kepler-1540 b,mesoplanet,,26.25,2.49,0.9229547,0.9229549,0.9229552,
Kepler-1541 b,non-habitable,,1.4,1.15,77.42004,77.42004,77.42004,
Kepler-1542 b,non-habitable,,0.36,0.76,367.2571,367.2571,367.2573,
Kepler-1542 c,non-habitable,,0.22,0.65,556.7078,556.7078,556.7078,
Kepler-1542 d,non-habitable,,0.56,0.87,210.7515,210.7516,210.7516,
Kepler-1542 e,non-habitable,,0.36,0.76,261.2438,261.2439,261.2439,
Kepler-1543 b,non-habitable,,3.82,2.71,713.3553,713.3554,713.3555,
Kepler-1544 b,mesoplanet,,6.56,1.78,0.9021728,0.9021729,0.902173,
Kepler-1545 b,non-habitable,,3.77,2.7,1.376704,1.376704,1.376705,
Kepler-1546 b,non-habitable,,5.99,3.12,39.68494,39.68494,39.68494,
Kepler-1547 b,non-habitable,,0.6,0.9,6733.459,6733.461,6733.461,
Kepler-1548 b,non-habitable,,3.52,2.64,3.771944,3.771944,3.771944,
Kepler-1549 b,non-habitable,,3.19,2.56,1.124037,1.124037,1.124038,
