P. Name,P. Habitable Class,P. Min Mass (EU),P. Mass (EU),P. Radius (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),
GJ 9827 c,non-habitable,,2.51,1.29,64.37906,64.37907,64.37908,
GJ 9827 d,non-habitable,,3.82,2.08,31.70406,31.70406,31.70407,
GP Com b,non-habitable,8330.03,8330.03,10.53,9669.743,9669.743,9669.744,
GQ Lup b,non-habitable,,6835.71,20.16,5.04E-05,5.04E-05,5.04E-05,
GSC 6214-210 b,non-habitable,5404.98,5404.98,11.14,1.27E-06,1.27E-06,1.27E-06,
GU Psc b,non-habitable,,3497.34,15.12,5.30E-09,5.30E-09,5.30E-09,
HAT-P-1 b,non-habitable,166.89,166.92,14.77,449.1832,512.5095,587.4374,
HAT-P-2 b,non-habitable,,2778.8,10.65,344.5467,926.172,3399.484,
HAT-P-3 b,non-habitable,,187.9,9.26,285.412,285.4121,285.4121,
HAT-P-4 b,non-habitable,,216.2,14.22,1372.384,1372.384,1372.384,
HAT-P-5 b,non-habitable,,337.02,14.02,879.6064,879.6064,879.6067,
HAT-P-6 b,non-habitable,,336.06,14.9,1300.24,1300.24,1300.24,
HAT-P-7 b,non-habitable,396.16,553.53,16.03,3834.345,3834.346,3834.346,
HAT-P-8 b,non-habitable,424.48,426.04,16.8,1641.64,1641.64,1641.641,
HAT-P-9 b,non-habitable,212.87,213.02,15.68,904.8587,904.8588,904.859,
HAT-P-11 b,non-habitable,26.14,26.21,4.73,58.625,97.27116,173.6191,
HAT-P-12 b,non-habitable,66.92,66.92,10.69,139.3912,139.3912,139.3912,
HAT-P-13 b,non-habitable,269.53,270.25,14.34,1181.896,1215.805,1250.958,
HAT-P-13 c,non-habitable,4540.18,4540.18,11.32,0.5683177,2.091848,13.69649,
HAT-P-14 b,non-habitable,699.38,699.47,13.44,867.2703,1044.512,1269.544,
HAT-P-15 b,non-habitable,609.5,618.71,12.01,76.44624,110.2464,164.972,
HAT-P-16 b,non-habitable,,1333.12,14.44,1078.409,1158.162,1245.472,
HAT-P-17 b,non-habitable,169.71,169.78,11.31,33.78617,65.22389,143.0742,
HAT-P-17 c,non-habitable,445.12,445.12,10.82,0.05202869,0.06326609,0.07771476,
HAT-P-18 b,non-habitable,58.18,58.18,10.61,67.8816,83.49763,103.8832,
HAT-P-19 b,non-habitable,92.81,92.84,12.68,151.3027,172.6334,197.8721,
