P. Name,P. Composition Class,P. Habitable Class,P. Min Mass (EU),P. Mass (EU),P. Radius (EU)
HD 3651 c,gas,non-habitable,28.61,28.61,5.24
HD 4113 b,gas,non-habitable,495.99,495.99,10.97
HD 4203 b,gas,non-habitable,578.65,578.65,11.16
HD 4203 c,gas,non-habitable,689.93,689.93,11.34
HD 4208 b,gas,non-habitable,255.62,255.62,9.85
HD 4308 b,gas,non-habitable,12.88,12.88,4.01
HD 4313 b,gas,non-habitable,731.26,731.26,11.39
HD 4732 b,gas,non-habitable,753.52,753.52,11.41
HD 4732 c,gas,non-habitable,753.52,753.52,11.41
HD 4747 b,gas,non-habitable,19139.99,19139.99,8.87
HD 5319 b,gas,non-habitable,616.8,616.8,11.23
HD 5319 c,gas,non-habitable,365.63,365.63,10.51
HD 5583 b,gas,non-habitable,1837.69,1837.69,11.68
HD 5608 b,gas,non-habitable,445.12,445.12,10.82
HD 5891 b,gas,non-habitable,2416.34,2416.34,11.66
HD 6434 b,gas,non-habitable,124,124,8.28
HD 6718 b,gas,non-habitable,495.99,495.99,10.97
HD 7199 b,gas,non-habitable,92.2,92.2,7.61
HD 7449 b,gas,non-habitable,352.91,352.91,10.45
HD 7449 c,gas,non-habitable,635.88,635.88,11.26
HD 7924 b,gas,non-habitable,,8.68,11.76
HD 7924 c,rocky-iron,non-habitable,7.85,7.85,1.87
HD 7924 d,rocky-iron,non-habitable,6.45,6.45,1.77
HD 8535 b,gas,non-habitable,216.2,216.2,9.51
HD 8574 b,gas,non-habitable,670.85,670.85,11.31
HD 8673 b,gas,non-habitable,4514.75,4514.75,11.33
HD 9174 b,gas,non-habitable,352.91,352.91,10.45
HD 9446 b,gas,non-habitable,222.56,222.56,9.57
HD 9446 c,gas,non-habitable,578.65,578.65,11.16
HD 9578 b,gas,non-habitable,197.12,197.12,9.31
HD 10180 c,gas,non-habitable,13.1,13.1,4.04
HD 10180 d,gas,non-habitable,11.75,11.75,3.89
HD 10180 e,gas,non-habitable,25.11,25.11,5.02
HD 10180 f,gas,non-habitable,23.91,23.91,4.94
HD 10180 g,gas,non-habitable,21.41,21.41,4.76
HD 10180 h,gas,non-habitable,64.42,64.42,6.83
HD 10442 b,gas,non-habitable,667.67,667.67,11.31
HD 10647 b,gas,non-habitable,295.68,295.68,10.14
HD 10697 b,gas,non-habitable,2171.53,2171.53,11.68
HD 11506 b,gas,non-habitable,1093.71,1093.71,11.62
