P. Name,P. Composition Class,P. Habitable Class,P. Min Mass (EU),P. Mass (EU),P. Radius (EU)
HD 11506 c,gas,non-habitable,260.71,260.71,9.89
HD 11755 b,gas,non-habitable,2066.61,2066.61,11.68
HD 11964 b,gas,non-habitable,197.76,197.76,9.32
HD 11964 c,gas,non-habitable,25.12,25.12,5.02
HD 11977 b,gas,non-habitable,1999.84,1999.84,11.68
HD 12484 b,gas,non-habitable,947.46,947.46,11.56
HD 12648 b,gas,non-habitable,922.03,922.03,11.54
HD 12661 b,gas,non-habitable,731.26,731.26,11.39
HD 12661 c,gas,non-habitable,499.17,499.17,10.98
HD 13189 b,gas,non-habitable,4451.16,4451.16,11.34
HD 13808 b,gas,non-habitable,10.33,10.33,3.73
HD 13808 c,gas,non-habitable,11.45,11.45,3.86
HD 13908 b,gas,non-habitable,275.02,275.02,10
HD 13908 c,gas,non-habitable,1631.03,1631.03,11.68
HD 13931 b,gas,non-habitable,597.73,597.73,11.19
HD 14067 b,gas,non-habitable,2479.93,2479.93,11.65
HD 16141 b,gas,non-habitable,68.36,68.36,6.95
HD 16175 b,gas,non-habitable,1516.57,1516.57,11.68
HD 16417 b,gas,non-habitable,21.94,21.94,4.8
HD 17092 b,gas,non-habitable,1462.52,1462.52,11.68
HD 17156 b,gas,non-habitable,,1015.82,12.26
HD 17674 b,gas,non-habitable,276.61,276.61,10.01
HD 18742 b,gas,non-habitable,858.44,858.44,11.5
HD 19467 b,gas,non-habitable,16532.88,16532.88,9.2
HD 19994 b,gas,non-habitable,534.14,534.14,11.06
HD 20003 b,gas,non-habitable,12.02,12.02,3.92
HD 20003 c,gas,non-habitable,13.42,13.42,4.07
HD 20367 b,gas,non-habitable,340.2,340.2,10.39
HD 20781 b,gas,non-habitable,12.05,12.05,3.93
HD 20781 c,gas,non-habitable,15.77,15.77,4.3
HD 20782 b,gas,non-habitable,604.09,604.09,11.21
HD 20794 b,rocky-iron,non-habitable,2.82,2.82,1.41
HD 20794 d,rocky-iron,non-habitable,3.53,3.53,1.5
HD 20794 e,rocky-iron,non-habitable,4.77,4.77,1.64
HD 20868 b,gas,non-habitable,632.7,632.7,11.25
HD 21693 b,gas,non-habitable,10.24,10.24,3.72
HD 21693 c,gas,non-habitable,20.58,20.58,4.69
HD 22781 b,gas,non-habitable,4339.88,4339.88,11.36
HD 23079 b,gas,non-habitable,778.95,778.95,11.44
HD 23127 b,gas,non-habitable,476.91,476.91,10.92
HD 23596 b,gas,non-habitable,2575.31,2575.31,11.65
HD 24040 b,gas,non-habitable,1274.94,1274.94,11.66
HD 24064 b,gas,non-habitable,2988.64,2988.64,11.6
HD 25171 b,gas,non-habitable,302.04,302.04,10.17
HD 27442 b,gas,non-habitable,429.22,429.22,10.77
HD 27631 b,gas,non-habitable,461.01,461.01,10.87
HD 27894 b,gas,non-habitable,211.43,211.43,9.46
HD 27894 c,gas,non-habitable,51.51,51.51,6.36
HD 27894 d,gas,non-habitable,1721.65,1721.65,11.68
HD 28185 b,gas,non-habitable,1812.26,1812.26,11.68
HD 28254 b,gas,non-habitable,368.81,368.81,10.53
HD 28678 b,gas,non-habitable,540.5,540.5,11.08
HD 29021 b,gas,non-habitable,763.06,763.06,11.42
HD 30177 b,gas,non-habitable,2565.78,2565.78,11.65
HD 30177 c,gas,non-habitable,953.82,953.82,11.56
HD 30562 b,gas,non-habitable,410.14,410.14,10.7
HD 30669 b,gas,non-habitable,149.43,149.43,8.7
HD 30856 b,gas,non-habitable,572.29,572.29,11.15
HD 31253 b,gas,non-habitable,158.97,158.97,8.84
HD 31527 b,gas,non-habitable,11.54,11.54,3.87
HD 31527 c,gas,non-habitable,15.83,15.83,4.3
HD 31527 d,gas,non-habitable,16.5,16.5,4.36
HD 32518 b,gas,non-habitable,966.54,966.54,11.57
HD 32963 b,gas,non-habitable,222.56,222.56,9.57
HD 33142 b,gas,non-habitable,413.32,413.32,10.71
HD 33283 b,gas,non-habitable,,104.92,11.09
HD 33564 b,gas,non-habitable,2893.25,2893.25,11.61
HD 33844 b,gas,non-habitable,623.16,623.16,11.24
HD 33844 c,gas,non-habitable,556.4,556.4,11.11
HD 34445 b,gas,non-habitable,199.98,199.98,9.34
HD 34445 c,gas,non-habitable,53.41,53.41,6.43
HD 34445 d,gas,non-habitable,30.84,30.84,5.37
HD 34445 e,gas,non-habitable,16.82,16.82,4.39
HD 34445 f,gas,non-habitable,37.83,37.83,5.75
HD 34445 g,gas,non-habitable,120.82,120.82,8.22
HD 35759 b,gas,non-habitable,1195.45,1195.45,11.64
HD 37124 b,gas,non-habitable,214.61,214.61,9.49
HD 37124 c,gas,non-habitable,207.3,207.3,9.42
HD 37124 d,gas,non-habitable,221.29,221.29,9.56
HD 37605 b,gas,non-habitable,894.37,894.37,11.53
HD 37605 c,gas,non-habitable,1070.19,1070.19,11.61
HD 38283 b,gas,non-habitable,108.1,108.1,7.97
HD 38529 b,gas,non-habitable,295.68,295.68,10.14
HD 38529 c,gas,non-habitable,7535.18,7535.18,10.7
HD 38801 b,gas,non-habitable,3401.96,3401.96,11.53
HD 38858 b,gas,non-habitable,30.55,30.55,5.36
HD 39091 b,gas,non-habitable,3274.78,3274.78,11.55
HD 39194 b,rocky-iron,non-habitable,3.72,3.72,1.53
HD 39194 c,rocky-iron,non-habitable,5.95,5.95,1.74
HD 39194 d,rocky-iron,non-habitable,5.15,5.15,1.67
HD 39392 b,gas,non-habitable,4196.81,4196.81,11.39
HD 40307 b,rocky-iron,non-habitable,3.82,3.82,1.54
HD 40307 c,rocky-iron,non-habitable,6.43,6.43,1.77
HD 40307 d,rocky-iron,non-habitable,8.74,8.74,1.92
HD 40307 e,rocky-iron,non-habitable,3.5,3.5,1.5
HD 40307 f,rocky-iron,non-habitable,3.62,3.62,1.52
HD 40307 g,rocky-iron,psychroplanet,7.09,7.09,1.82
HD 40956 b,gas,non-habitable,858.44,858.44,11.5
HD 40979 b,gas,non-habitable,1274.94,1274.94,11.66
HD 41004 A b,gas,non-habitable,807.57,807.57,11.46
HD 41004 B b,gas,non-habitable,,5850.1,11.87
HD 41248 c,rocky-iron,non-habitable,7.09,7.09,1.82
HD 42012 b,gas,non-habitable,508.7,508.7,11
HD 42618 b,gas,non-habitable,14.4,14.4,4.17
HD 43197 b,gas,non-habitable,190.76,190.76,9.24
HD 43691 b,gas,non-habitable,791.67,791.67,11.45
HD 44219 b,gas,non-habitable,184.41,184.41,9.17
HD 45184 b,gas,non-habitable,12.72,12.72,4
HD 45350 b,gas,non-habitable,569.11,569.11,11.14
HD 45364 b,gas,non-habitable,59.52,59.52,6.66
HD 45364 c,gas,non-habitable,209.17,209.17,9.44
HD 45652 b,gas,non-habitable,149.43,149.43,8.7
HD 46375 b,gas,non-habitable,10.05,73.13,11.42
HD 47186 b,gas,non-habitable,22.79,22.79,4.86
HD 47186 c,gas,non-habitable,111.47,111.47,8.04
HD 47366 b,gas,non-habitable,556.4,556.4,11.11
HD 47366 c,gas,non-habitable,591.37,591.37,11.18
HD 47536 b,gas,non-habitable,1589.7,1589.7,11.68
HD 48265 b,gas,non-habitable,368.81,368.81,10.53
HD 49674 b,gas,non-habitable,5.3,31.79,10.98
HD 50499 b,gas,non-habitable,543.68,543.68,11.09
HD 50554 b,gas,non-habitable,1640.57,1640.57,11.68
HD 51608 b,gas,non-habitable,13.13,13.13,4.04
HD 51608 c,gas,non-habitable,17.96,17.96,4.49
HD 52265 b,gas,non-habitable,333.84,333.84,10.36
HD 52265 c,gas,non-habitable,111.28,111.28,8.04
HD 59686 A b,gas,non-habitable,2200.14,2200.14,11.67
HD 60532 b,gas,non-habitable,2928.23,2928.23,11.6
HD 60532 c,gas,non-habitable,6934.27,6934.27,10.82
HD 62509 b,gas,non-habitable,922.03,922.03,11.54
HD 63454 b,gas,non-habitable,,124,11.87
HD 63765 b,gas,non-habitable,203.48,203.48,9.38
HD 65216 b,gas,non-habitable,400.6,400.6,10.66
HD 65216 c,gas,non-habitable,54.05,54.05,6.46
HD 66141 b,gas,non-habitable,1907.64,1907.64,11.68
HD 66428 b,gas,non-habitable,896.59,896.59,11.53
HD 67087 b,gas,non-habitable,972.9,972.9,11.57
HD 67087 c,gas,non-habitable,1542.01,1542.01,11.68
HD 68402 b,gas,non-habitable,976.08,976.08,11.57
HD 68988 b,gas,non-habitable,591.37,591.37,11.18
HD 69830 b,gas,non-habitable,45.37,45.37,6.1
HD 69830 c,gas,non-habitable,52.43,52.43,6.39
HD 69830 d,gas,non-habitable,80.41,80.41,7.31
HD 70642 b,gas,non-habitable,635.88,635.88,11.26
HD 72659 b,gas,non-habitable,1001.51,1001.51,11.58
HD 72892 b,gas,non-habitable,1732.77,1732.77,11.68
HD 73256 b,gas,non-habitable,594.55,594.55,11.19
HD 73267 b,gas,non-habitable,972.9,972.9,11.57
HD 73526 b,gas,non-habitable,715.36,715.37,11.37
HD 73526 c,gas,non-habitable,715.36,715.37,11.37
HD 73534 b,gas,non-habitable,365.63,365.63,10.51
HD 74156 b,gas,non-habitable,565.3,565.3,11.13
HD 74156 c,gas,non-habitable,2542.57,2542.57,11.65
HD 75289 b,gas,non-habitable,,149.43,11.54
HD 75784 b,gas,non-habitable,365.63,365.63,10.51
HD 75784 c,gas,non-habitable,1780.46,1780.46,11.68
HD 75898 b,gas,non-habitable,798.03,798.03,11.45
HD 76700 b,gas,non-habitable,,73.13,11.09
HD 76920 b,gas,non-habitable,1249.5,1249.5,11.66
HD 77065 b,gas,non-habitable,13035.54,13035.54,9.7
HD 77338 b,gas,non-habitable,158.97,158.97,8.84
HD 79498 b,gas,non-habitable,426.04,426.04,10.76
HD 80606 b,gas,non-habitable,,1252.68,10.32
HD 81040 b,gas,non-habitable,2181.07,2181.07,11.67
HD 81688 b,gas,non-habitable,562.75,562.75,11.13
HD 82886 b,gas,non-habitable,413.32,413.32,10.71
HD 82943 b,gas,non-habitable,4610.13,4610.13,11.31
HD 82943 c,gas,non-habitable,4575.16,4575.16,11.32
HD 82943 d,gas,non-habitable,92.2,92.2,7.61
HD 83443 b,gas,non-habitable,,127.18,11.65
HD 85390 b,gas,non-habitable,41.97,41.97,5.95
HD 85390 c,gas,non-habitable,63.59,63.59,6.8
HD 85512 b,rocky-iron,non-habitable,3.5,3.5,1.5
HD 86081 b,gas,non-habitable,,476.91,12.1
HD 86226 b,gas,non-habitable,476.91,476.91,10.92
HD 86264 b,gas,non-habitable,2225.58,2225.58,11.67
HD 86950 b,gas,non-habitable,1144.58,1144.58,11.63
HD 87646 A b,gas,non-habitable,3942.46,3942.46,11.44
HD 87646 A c,gas,non-habitable,18122.58,18122.58,8.99
HD 87883 b,,non-habitable,26039.29,26039.29,
HD 88133 b,gas,non-habitable,,95.38,11.2
HD 89307 b,gas,non-habitable,635.88,635.88,11.26
HD 89345 b,gas,non-habitable,,32.75,6.9
HD 89744 b,gas,non-habitable,2829.67,2829.67,11.62
HD 89744 c,gas,non-habitable,1017.41,1017.41,11.59
HD 90156 b,gas,non-habitable,18.12,18.12,4.5
HD 92788 b,gas,non-habitable,8819.66,8819.66,10.44
HD 92788 c,gas,non-habitable,286.15,286.15,10.07
HD 93083 b,gas,non-habitable,117.64,117.64,8.16
HD 93385 b,rocky-iron,non-habitable,8.36,8.36,1.9
HD 93385 c,gas,non-habitable,10.11,10.11,3.71
HD 95086 b,gas,non-habitable,1398.94,1398.94,11.67
HD 95089 b,gas,non-habitable,381.53,381.53,10.58
HD 95127 b,gas,non-habitable,1592.88,1592.88,11.68
HD 95872 b,gas,non-habitable,1462.52,1462.52,11.68
HD 96063 b,gas,non-habitable,286.15,286.15,10.07
HD 96127 b,gas,non-habitable,1271.76,1271.76,11.66
HD 96167 b,gas,non-habitable,216.2,216.2,9.51
HD 96700 b,rocky-iron,non-habitable,9.03,9.03,1.93
HD 96700 c,gas,non-habitable,12.72,12.72,4
HD 97658 b,rocky-water,non-habitable,,7.55,2.25
HD 98219 b,gas,non-habitable,572.29,572.29,11.15
HD 98649 b,gas,non-habitable,2161.99,2161.99,11.68
HD 99109 b,gas,non-habitable,159.61,159.61,8.85
HD 99492 b,gas,non-habitable,25.12,25.12,5.02
HD 99706 b,gas,non-habitable,445.12,445.12,10.82
HD 100655 b,gas,non-habitable,540.5,540.5,11.08
HD 100777 b,gas,non-habitable,368.81,368.81,10.53
HD 101930 b,gas,non-habitable,95.38,95.38,7.69
HD 102117 b,gas,non-habitable,54.69,54.69,6.48
HD 102195 b,gas,non-habitable,143.07,143.07,8.61
HD 102272 b,gas,non-habitable,1875.85,1875.85,11.68
HD 102272 c,gas,non-habitable,826.64,826.64,11.48
HD 102329 b,gas,non-habitable,1875.85,1875.85,11.68
HD 102365 b,gas,non-habitable,15.9,15.9,4.31
HD 102956 b,gas,non-habitable,305.22,305.22,10.19
HD 103197 b,gas,non-habitable,31.16,31.16,5.39
HD 103720 b,gas,non-habitable,197.12,197.12,9.31
HD 103774 b,gas,non-habitable,116.68,116.68,8.14
HD 104067 b,gas,non-habitable,59.14,59.14,6.65
HD 104985 b,gas,non-habitable,2638.9,2638.9,11.64
HD 106252 b,gas,non-habitable,10447.51,10447.51,10.13
HD 106270 b,gas,non-habitable,3497.34,3497.34,11.52
HD 106315 b,rocky-water,non-habitable,,12.59,2.44
HD 106315 c,gas,non-habitable,,15.2,3.94
HD 106515 A b,gas,non-habitable,3055.4,3055.4,11.59
HD 106906 b,gas,non-habitable,3497.34,3497.34,11.52
HD 107148 b,gas,non-habitable,66.77,66.77,6.9
HD 108147 b,gas,non-habitable,82.98,82.98,7.38
HD 108341 b,gas,non-habitable,1112.79,1112.79,11.62
HD 108863 b,gas,non-habitable,826.64,826.64,11.48
HD 108874 b,gas,non-habitable,432.4,432.4,10.78
HD 108874 c,gas,non-habitable,323.66,323.66,10.3
HD 109246 b,gas,non-habitable,244.81,244.81,9.77
HD 109271 b,gas,non-habitable,17.17,17.17,4.42
HD 109271 c,gas,non-habitable,24.16,24.16,4.95
HD 109749 b,gas,non-habitable,,89.02,11.09
HD 110014 b,gas,non-habitable,3401.96,3401.96,11.53
HD 110014 c,gas,non-habitable,985.61,985.61,11.58
HD 111232 b,gas,non-habitable,2161.99,2161.99,11.68
HD 111591 b,gas,non-habitable,1398.94,1398.94,11.67
HD 113337 b,gas,non-habitable,899.77,899.77,11.53
HD 113538 b,gas,non-habitable,114.46,114.46,8.1
HD 113538 c,gas,non-habitable,295.68,295.68,10.14
HD 113996 b,gas,non-habitable,2003.02,2003.02,11.68
HD 114386 b,gas,non-habitable,394.25,394.25,10.64
HD 114386 c,gas,non-habitable,378.35,378.35,10.57
HD 114613 b,gas,non-habitable,152.61,152.61,8.75
HD 114729 b,gas,non-habitable,267.07,267.07,9.94
HD 114762 b,gas,non-habitable,3490.98,3490.98,11.52
HD 114783 b,gas,non-habitable,2003.02,2003.02,11.68
HD 116029 b,gas,non-habitable,667.67,667.67,11.31
HD 117207 b,gas,non-habitable,654.96,654.96,11.29
HD 117618 b,gas,non-habitable,56.59,56.59,6.55
HD 117618 c,gas,non-habitable,63.59,63.59,6.8
HD 118203 b,gas,non-habitable,,680.39,11.76
HD 119445 b,gas,non-habitable,11954.54,11954.54,9.87
HD 120084 b,gas,non-habitable,1430.73,1430.73,11.68
HD 121504 b,gas,non-habitable,387.89,387.89,10.61
HD 122562 b,gas,non-habitable,7630.56,7630.56,10.68
HD 125595 b,gas,non-habitable,13.35,13.35,4.06
HD 125612 b,gas,non-habitable,953.82,953.82,11.56
HD 125612 c,gas,non-habitable,18.44,18.44,4.53
HD 125612 d,gas,non-habitable,2289.17,2289.17,11.67
HD 126525 b,gas,non-habitable,71.22,71.22,7.04
HD 126614 b,gas,non-habitable,120.82,120.82,8.22
HD 128311 b,gas,non-habitable,693.11,693.11,11.34
HD 128311 c,gas,non-habitable,1332.17,1332.17,11.67
HD 128356 b,gas,non-habitable,282.97,282.97,10.05
HD 129445 b,gas,non-habitable,508.7,508.7,11
HD 130322 b,gas,non-habitable,333.84,333.84,10.36
HD 131496 b,gas,non-habitable,699.47,699.47,11.35
HD 132406 b,gas,non-habitable,1783.64,1783.64,11.68
HD 132563 B b,gas,non-habitable,473.73,473.73,10.91
HD 133131 A b,gas,non-habitable,454.65,454.65,10.85
HD 133131 A c,gas,non-habitable,152.61,152.61,8.75
HD 133131 B b,gas,non-habitable,794.85,794.85,11.45
HD 134060 b,gas,non-habitable,11.16,11.16,3.83
HD 134060 c,gas,non-habitable,47.91,47.91,6.21
HD 134113 b,gas,non-habitable,14943.18,14943.18,9.41
HD 134606 b,rocky-iron,non-habitable,9.28,9.28,1.95
HD 134606 c,gas,non-habitable,12.15,12.15,3.94
HD 134606 d,gas,non-habitable,38.47,38.47,5.78
HD 134987 b,gas,non-habitable,505.52,505.52,10.99
HD 134987 c,gas,non-habitable,260.71,260.71,9.89
HD 136352 b,rocky-iron,non-habitable,5.28,5.28,1.68
HD 136352 c,gas,non-habitable,11.38,11.38,3.85
HD 136352 d,rocky-iron,non-habitable,9.54,9.54,1.96
HD 136418 b,gas,non-habitable,635.88,635.88,11.26
HD 137388 b,gas,non-habitable,70.9,70.9,7.03
HD 139357 b,gas,non-habitable,3103.09,3103.09,11.58
HD 141399 b,gas,non-habitable,143.39,143.39,8.61
HD 141399 c,gas,non-habitable,422.86,422.86,10.74
HD 141399 d,gas,non-habitable,375.17,375.17,10.56
HD 141399 e,gas,non-habitable,209.84,209.84,9.45
HD 141937 b,gas,non-habitable,3084.02,3084.02,11.58
HD 142022 A b,gas,non-habitable,9347.44,9347.44,10.34
HD 142245 b,gas,non-habitable,604.09,604.09,11.21
HD 142415 b,gas,non-habitable,515.06,515.06,11.02
HD 143105 b,gas,non-habitable,384.71,384.71,10.6
HD 143361 b,gas,non-habitable,991.97,991.97,11.58
HD 143761 b,gas,non-habitable,332.25,332.25,10.35
HD 143761 c,gas,non-habitable,25.12,25.12,5.02
HD 145377 b,gas,non-habitable,1831.33,1831.33,11.68
HD 145457 b,gas,non-habitable,922.03,922.03,11.54
HD 145934 b,gas,non-habitable,724.9,724.9,11.38
HD 147018 b,gas,non-habitable,674.03,674.03,11.32
HD 147018 c,gas,non-habitable,2085.69,2085.69,11.68
HD 147379 b,gas,non-habitable,24.7,24.7,4.99
HD 147513 b,gas,non-habitable,384.71,384.71,10.6
HD 147873 b,gas,non-habitable,1634.21,1634.21,11.68
HD 147873 c,gas,non-habitable,731.26,731.26,11.39
HD 148156 b,gas,non-habitable,270.25,270.25,9.96
HD 148427 b,gas,non-habitable,305.22,305.22,10.19
HD 149026 b,gas,non-habitable,,113.5,8.04
HD 149143 b,gas,non-habitable,,422.86,11.76
HD 150433 b,gas,non-habitable,53.41,53.41,6.43
HD 150706 b,gas,non-habitable,861.62,861.62,11.5
HD 152079 b,gas,non-habitable,953.82,953.82,11.56
HD 152581 b,gas,non-habitable,476.91,476.91,10.92
HD 153950 b,gas,non-habitable,867.98,867.98,11.51
HD 154088 b,rocky-iron,non-habitable,6.14,6.14,1.75
HD 154345 b,gas,non-habitable,413.32,413.32,10.71
HD 154672 b,gas,non-habitable,1596.06,1596.06,11.68
HD 154857 b,gas,non-habitable,712.19,712.19,11.36
HD 154857 c,gas,non-habitable,820.29,820.29,11.47
HD 155233 b,gas,non-habitable,826.64,826.64,11.48
HD 155358 b,gas,non-habitable,270.25,270.25,9.96
HD 155358 c,gas,non-habitable,260.71,260.71,9.89
HD 156279 b,gas,non-habitable,3087.2,3087.2,11.58
HD 156411 b,gas,non-habitable,235.28,235.28,9.69
HD 156668 b,rocky-iron,non-habitable,4.17,4.17,1.58
HD 157172 b,gas,non-habitable,38.15,38.15,5.77
HD 158038 b,gas,non-habitable,572.29,572.29,11.15
HD 158996 b,gas,non-habitable,4451.16,4451.16,11.34
HD 159243 b,gas,non-habitable,359.27,359.27,10.48
HD 159243 c,gas,non-habitable,604.09,604.09,11.21
HD 159868 b,gas,non-habitable,667.67,667.67,11.31
HD 159868 c,gas,non-habitable,232.1,232.1,9.66
HD 160508 b,gas,non-habitable,15261.12,15261.12,9.37
HD 162004 b,gas,non-habitable,486.45,486.45,10.94
HD 162020 b,gas,non-habitable,4578.34,4578.34,11.32
HD 163296 b,gas,non-habitable,95.38,95.38,7.69
HD 163296 c,gas,non-habitable,95.38,95.38,7.69
HD 163607 b,gas,non-habitable,244.81,244.81,9.77
HD 163607 c,gas,non-habitable,728.08,728.08,11.38
HD 164509 b,gas,non-habitable,152.61,152.61,8.75
HD 164595 b,gas,non-habitable,16.41,16.41,4.35
HD 164604 b,gas,non-habitable,858.44,858.44,11.5
HD 164922 b,gas,non-habitable,107.62,107.62,7.96
HD 164922 c,gas,non-habitable,12.91,12.91,4.02
HD 165155 b,gas,non-habitable,918.85,918.85,11.54
HD 166724 b,gas,non-habitable,1122.33,1122.33,11.63
HD 167042 b,gas,non-habitable,508.7,508.7,11
HD 168443 b,gas,non-habitable,2435.1,2435.1,11.66
HD 168443 c,gas,non-habitable,9367.47,9367.47,10.33
HD 168746 b,gas,non-habitable,73.13,73.13,7.1
HD 169142 b,gas,non-habitable,9538.2,9538.2,10.3
HD 169830 b,gas,non-habitable,915.67,915.67,11.54
HD 169830 c,gas,non-habitable,1284.48,1284.48,11.66
HD 170469 b,gas,non-habitable,213.02,213.02,9.48
HD 171028 b,gas,non-habitable,629.52,629.52,11.25
HD 171238 b,gas,non-habitable,826.64,826.64,11.48
HD 173416 b,gas,non-habitable,858.44,858.44,11.5
HD 175167 b,gas,non-habitable,2479.93,2479.93,11.65
HD 175370 b,gas,non-habitable,1462.52,1462.52,11.68
HD 175541 b,gas,non-habitable,193.94,193.94,9.28
HD 175607 b,rocky-iron,non-habitable,9,9,1.93
HD 176051 b,gas,non-habitable,476.91,476.91,10.92
HD 176986 b,rocky-iron,non-habitable,5.75,5.75,1.72
HD 176986 c,rocky-iron,non-habitable,9.19,9.19,1.94
HD 177830 b,gas,non-habitable,473.73,473.73,10.91
HD 177830 c,gas,non-habitable,47.69,47.69,6.2
HD 178911 B b,gas,non-habitable,2000.48,2000.48,11.68
HD 179079 b,gas,non-habitable,25.44,25.44,5.04
HD 179949 b,gas,non-habitable,,292.5,11.76
HD 180314 b,gas,non-habitable,6994.68,6994.68,10.81
HD 180777 b,gas,non-habitable,7948.5,7948.5,10.61
HD 180902 b,gas,non-habitable,508.7,508.7,11
HD 181342 b,gas,non-habitable,922.03,922.03,11.54
HD 181433 b,rocky-iron,non-habitable,7.57,7.57,1.85
HD 181433 c,gas,non-habitable,203.48,203.48,9.38
HD 181433 d,gas,non-habitable,171.69,171.69,9.01
HD 181720 b,gas,non-habitable,3853.43,3853.43,11.46
HD 183263 b,gas,non-habitable,1166.84,1166.84,11.64
HD 183263 c,gas,non-habitable,1214.53,1214.53,11.65
HD 185269 b,gas,non-habitable,298.86,298.86,10.16
HD 187085 b,gas,non-habitable,238.46,238.46,9.71
HD 187123 b,gas,non-habitable,165.33,165.33,8.93
HD 187123 c,gas,non-habitable,632.7,632.7,11.25
HD 188015 b,gas,non-habitable,400.6,400.6,10.66
HD 189567 b,gas,non-habitable,10.05,10.05,3.7
HD 189733 b,gas,non-habitable,,363.09,12.75
HD 190228 b,,non-habitable,20888.66,20888.66,
HD 190360 b,gas,non-habitable,475.32,475.32,10.91
HD 190360 c,gas,non-habitable,20.29,20.29,4.67
HD 190647 b,gas,non-habitable,604.09,604.09,11.21
HD 190984 b,gas,non-habitable,985.61,985.61,11.58
HD 191806 b,gas,non-habitable,2708.85,2708.85,11.63
HD 192263 b,gas,non-habitable,233.05,233.05,9.67
HD 192699 b,gas,non-habitable,794.85,794.85,11.45
HD 195019 b,gas,non-habitable,1176.38,1176.38,11.64
HD 195689 b,,non-habitable,,,
HD 196050 b,gas,non-habitable,899.77,899.77,11.53
HD 196067 b,gas,non-habitable,2193.79,2193.79,11.67
HD 196885 A b,gas,non-habitable,947.46,947.46,11.56
HD 197037 b,gas,non-habitable,251.17,251.17,9.82
HD 200964 b,gas,non-habitable,588.19,588.19,11.18
HD 200964 c,gas,non-habitable,284.56,284.56,10.06
HD 202206 Bb,,non-habitable,29759.18,29759.18,
HD 202206 c,gas,non-habitable,5691.13,5691.13,11.08
HD 203030 b,gas,non-habitable,3497.34,3497.34,11.52
HD 204313 b,gas,non-habitable,1360.78,1360.78,11.67
HD 204313 c,gas,non-habitable,17.58,17.58,4.45
HD 204313 d,gas,non-habitable,534.14,534.14,11.06
HD 204941 b,gas,non-habitable,84.57,84.57,7.42
HD 205739 b,gas,non-habitable,435.58,435.58,10.79
HD 206610 b,gas,non-habitable,699.47,699.47,11.35
HD 206893 b,gas,non-habitable,7153.65,7153.65,10.77
HD 207832 b,gas,non-habitable,178.05,178.05,9.09
HD 207832 c,gas,non-habitable,232.1,232.1,9.66
HD 208487 b,gas,non-habitable,131.31,131.31,8.41
HD 208527 b,gas,non-habitable,3147.61,3147.61,11.57
HD 208897 b,gas,non-habitable,445.12,445.12,10.82
HD 209458 b,gas,non-habitable,155.12,219.38,15.46
HD 210277 b,gas,non-habitable,391.07,391.07,10.62
HD 210702 b,gas,non-habitable,604.09,604.09,11.21
HD 211847 b,gas,non-habitable,6104.45,6104.45,10.99
HD 212301 b,gas,non-habitable,,127.18,11.98
HD 212771 b,gas,non-habitable,731.26,731.26,11.39
HD 213240 b,gas,non-habitable,1430.73,1430.73,11.68
HD 214823 b,gas,non-habitable,6104.45,6104.45,10.99
HD 215152 b,rocky-iron,non-habitable,2,2,1.28
HD 215152 c,rocky-iron,non-habitable,1.53,1.53,1.18
HD 215152 d,rocky-iron,non-habitable,2.71,2.71,1.4
HD 215152 e,rocky-iron,non-habitable,3.47,3.47,1.5
HD 215456 b,gas,non-habitable,32.11,32.11,5.45
HD 215456 c,gas,non-habitable,78.21,78.21,7.25
HD 215497 b,rocky-iron,non-habitable,6.36,6.36,1.77
HD 215497 c,gas,non-habitable,104.92,104.92,7.9
HD 216435 b,gas,non-habitable,400.6,400.6,10.66
HD 216437 b,gas,non-habitable,578.65,578.65,11.16
HD 216536 b,gas,non-habitable,467.37,467.37,10.89
HD 216770 b,gas,non-habitable,206.66,206.66,9.41
HD 217107 b,gas,non-habitable,422.86,422.86,10.74
HD 217107 c,gas,non-habitable,791.67,791.67,11.45
HD 217786 b,gas,non-habitable,4133.22,4133.22,11.4
HD 218566 b,gas,non-habitable,66.77,66.77,6.9
HD 219077 b,gas,non-habitable,3303.4,3303.4,11.55
HD 219134 b,rocky-iron,non-habitable,,3.82,1.6
HD 219134 c,rocky-iron,non-habitable,3.5,3.5,1.5
HD 219134 d,gas,non-habitable,21.3,21.3,4.75
HD 219134 e,gas,non-habitable,63.59,63.59,6.8
HD 219134 g,gas,non-habitable,10.81,10.81,3.79
HD 219134 h,gas,non-habitable,89.02,89.02,7.53
HD 219415 b,gas,non-habitable,317.94,317.94,10.27
HD 219828 b,gas,non-habitable,21.02,21.02,4.73
HD 219828 c,gas,non-habitable,4800.89,4800.89,11.27
HD 220074 b,gas,non-habitable,3529.13,3529.13,11.51
HD 220689 b,gas,non-habitable,337.02,337.02,10.37
HD 220773 b,gas,non-habitable,461.01,461.01,10.87
HD 220842 b,gas,non-habitable,1011.05,1011.05,11.59
HD 221287 b,gas,non-habitable,982.43,982.43,11.58
HD 221585 b,gas,non-habitable,511.88,511.88,11.01
HD 222076 b,gas,non-habitable,495.99,495.99,10.97
HD 222155 b,gas,non-habitable,604.09,604.09,11.21
HD 222582 b,gas,non-habitable,2464.03,2464.04,11.66
HD 224538 b,gas,non-habitable,1898.1,1898.1,11.68
HD 224693 b,gas,non-habitable,225.74,225.74,9.6
HD 231701 b,gas,non-habitable,343.38,343.38,10.41
HD 233604 b,gas,non-habitable,2090.46,2090.46,11.68
