hab_lbl,P. Composition Class,P. Min Mass (EU),P. Mass (EU),P. Radius (EU)
0,3,18.21791367,1.81,1.24
0,3,18.21791367,3.14,1.46
0,3,18.21791367,4.09,1.57
0,3,18.21791367,6.88,1.8
0,3,18.21791367,7.38,1.84
0,3,18.21791367,4.89,1.65
0,3,18.21791367,12.42,2.09
0,3,18.21791367,3.05,1.44
0,3,18.21791367,0.58,0.88
0,3,18.21791367,3.05,1.44
0,3,18.21791367,1.4,1.15
0,3,18.21791367,5.4,1.69
0,3,18.21791367,11.37,2.05
0,3,18.21791367,3.88,1.55
0,3,18.21791367,13.85,2.15
0,3,18.21791367,11.12,2.04
0,3,18.21791367,4.77,1.64
0,3,18.21791367,3.14,1.46
0,3,18.21791367,6.72,1.79
0,3,18.21791367,2.1,1.3
0,3,18.21791367,1.59,1.2
0,3,18.21791367,1.31,1.13
0,3,18.21791367,2.81,1.41
0,3,18.21791367,4.31,1.59
0,3,18.21791367,8.48,1.9
0,3,18.21791367,8.29,1.89
0,3,18.21791367,6.56,1.78
0,3,18.21791367,2.44,1.36
0,3,18.21791367,12.15,2.08
0,3,18.21791367,5.4,1.69
0,3,18.21791367,2.44,1.36
0,3,18.21791367,1.81,1.24
0,3,18.21791367,0.96,1.03
0,3,18.21791367,1.18,1.1
0,3,18.21791367,2.17,1.31
0,3,18.21791367,3.05,1.44
0,3,18.21791367,1.07,1.06
0,3,18.21791367,6.72,1.79
0,3,18.21791367,2.65,1.39
0,3,18.21791367,11.62,2.06
0,3,18.21791367,0.34,0.75
0,3,18.21791367,0.27,0.69
0,3,18.21791367,5.02,1.66
0,3,18.21791367,17.93,2.28
0,3,18.21791367,1.54,1.19
0,3,18.21791367,1.92,1.27
0,3,18.21791367,0.83,0.99
0,3,18.21791367,1.27,1.12
0,3,18.21791367,2.23,1.32
0,3,18.21791367,4.31,1.59
0,3,18.21791367,2.23,1.32
0,3,18.21791367,1.81,1.24
0,3,18.21791367,1.27,1.12
0,3,18.21791367,1.31,1.13
0,3,18.21791367,2.65,1.39
0,3,18.21791367,4.2,1.58
0,3,18.21791367,0.96,1.03
0,3,18.21791367,0.58,0.88
0,3,18.21791367,0.43,0.81
0,3,18.21791367,0.53,0.86
0,3,18.21791367,3.59,1.51
0,3,18.21791367,3.14,1.46
0,3,18.21791367,0.45,0.82
0,3,18.21791367,0.39,0.78
0,3,18.21791367,0.86,1
0,3,18.21791367,1.18,1.1
0,3,18.21791367,2.04,1.29
0,3,18.21791367,2.3,1.33
0,3,18.21791367,4.42,1.6
0,3,18.21791367,5.02,1.66
0,3,18.21791367,0.96,1.03
0,3,18.21791367,2.23,1.32
0,3,18.21791367,24.64,2.45
0,3,18.21791367,0.68,0.93
0,3,18.21791367,0.89,1.01
0,3,18.21791367,0.58,0.88
0,3,18.21791367,0.77,0.96
0,3,18.21791367,2.97,1.43
0,3,18.21791367,8.29,1.89
0,3,18.21791367,4.89,1.65
0,3,18.21791367,3.4,1.49
0,3,18.21791367,5.68,1.71
0,3,18.21791367,13.85,2.15
0,3,18.21791367,17.55,2.27
0,3,18.21791367,1.7,1.22
0,3,18.21791367,3.99,1.56
0,3,18.21791367,2.58,1.38
0,3,18.21791367,3.14,1.46
0,3,18.21791367,1.86,1.25
0,3,18.21791367,6.1,1.75
0,3,18.21791367,2.89,1.42
0,3,18.21791367,1.92,1.27
0,3,18.21791367,5.68,1.71
0,3,18.21791367,12.15,2.08
0,3,18.21791367,6.36,1.43
0,3,18.21791367,8.1,1.88
0,3,18.21791367,0.36,0.76
0,3,18.21791367,0.23,0.67
0,3,18.21791367,1.23,1.11
0,3,18.21791367,19.52,2.33
0,3,18.21791367,13.57,2.14
0,3,18.21791367,16.46,2.24
0,3,18.21791367,4.82,1.64
0,3,18.21791367,0.04,0.38
0,3,18.21791367,0.09,0.49
0,3,18.21791367,0.11,0.53
0,3,18.21791367,0.12,0.53
0,3,18.21791367,0.25,0.68
0,3,18.21791367,6.36,1.58
0,3,18.21791367,3.5,1.25
0,3,18.21791367,4.45,1.5
0,3,18.21791367,2.86,1.1
0,3,18.21791367,3.18,1.34
0,3,18.21791367,11.47,2.05
0,3,18.21791367,0.48,0.84
0,3,18.21791367,20.36,2.35
